"CVE","Vendor","Product","Type","Description","Date Discovered","Date Patched","Advisory"
"CVE-2024-9680","Mozilla","Firefox","Memory Corruption","Use-after-free in Animation timeline","???","2024-10-09","https://www.mozilla.org/en-US/security/advisories/mfsa2024-51/"
"CVE-2024-43047","Qualcomm","DSP Service","Memory Corruption","Use After Free in DSP Service","2024-07-29","2024-10-07","https://docs.qualcomm.com/product/publicresources/securitybulletin/october-2024-bulletin.html"
"CVE-2024-44068","Samsung","Exynos DSP","Memory Corruption","A Use-After-Free in the mobile processor.","???","2024-10-07","https://googleprojectzero.github.io/0days-in-the-wild/0day-RCAs/2024/CVE-2024-44068.html"
"CVE-2024-49039","Microsoft","Windows","Improper authenticatio","Windows Task Scheduler Elevation of Privilege Vulnerability","???","2024--11-12","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-49039"
"CVE-2024-44308","Apple","WebKit","Memory Corruption","Input validation error","???","2024-11-19","https://support.apple.com/en-us/121752"
"CVE-2024-44309","Apple","WebKit","Logic Error","Universal cross-site scripting","???","2024-11-19","https://support.apple.com/en-us/121752"
"CVE-2024-43093","Google","Android","Logic Error","Improper URI validation","???","2024-11-04","https://source.android.com/docs/security/bulletin/2024-11-01"
"CVE-2024-49138","Microsoft","Windows","Memory Corruption","Windows Common Log File System Driver Elevation of Privilege Vulnerability","???","2024-12-10","https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2024-49138"
"CVE-2024-53104","Google","Android","Memory Corruption","OOB write in uvcvideo","2024-11-07","2025-02-01","https://source.android.com/docs/security/bulletin/2025-02-01"
"CVE-2024-50302","Google","Android","Memory Corruption","HID core information leak","2024-10-29","2025-03-01","https://source.android.com/docs/security/bulletin/2025-03-01"
"CVE-2024-53197","Google","Android","Memory Corruption","OOB free in ALSA USB","2024-11-20","2025-04-01","https://source.android.com/docs/security/bulletin/2025-04-01"
"CVE-2024-53150","Google","Android","Memory Corruption","OOB read in ALSA USB","2024-11-25","2025-04-01","https://source.android.com/docs/security/bulletin/2025-04-01"
"CVE-2025-24085","Apple","iOS","Memory Corruption","Use after free in CoreMedia","???","2025-01-27","https://support.apple.com/en-us/122066"
"CVE-2025-24200","Apple","iOS","Security Feature Bypass","A physical attack may disable USB Restricted Mode","???","2025-02-10","https://support.apple.com/en-us/122174"
"CVE-2025-21391","Microsoft","Windows","Logic Error","Windows Storage Elevation of Privilege Vulnerability","???","2025-02-11","https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2025-21391"
"CVE-2025-21418","Microsoft","Windows","Memory Corruption","Windows Ancillary Function Driver for WinSock Elevation of Privilege Vulnerability","???","2025-02-11","https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2025-21418"
"CVE-2025-24201","Apple","WebKit","Memory Corruption","OOB write","???","2025-03-11","https://support.apple.com/en-us/122281"
"CVE-2025-26633","Microsoft","Windows","Security Feature Bypass","Microsoft Management Console Security Feature Bypass","???","2025-03-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-26633"
"CVE-2025-24993","Microsoft","Windows","Memory Corruption","Windows NTFS Remote Code Execution Vulnerability","???","2025-03-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24993"
"CVE-2025-24985","Microsoft","Windows","Memory Corruption","Windows Fast FAT File System Driver Remote Code Execution Vulnerability","???","2025-03-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24985"
"CVE-2025-24983","Microsoft","Windows","Memory Corruption","Windows Win32 Kernel Subsystem Elevation of Privilege Vulnerability","???","2025-03-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24983"
"CVE-2025-24984","Microsoft","Windows","Information Disclosure","Windows NTFS Information Disclosure Vulnerability","???","2025-03-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24984"
"CVE-2025-24991","Microsoft","Windows","Information Disclosure","Windows NTFS Information Disclosure Vulnerability","???","2025-03-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24991"
"CVE-2025-22225","VMWare","VMware ESXi ","Memory Corruption","OOB VMware ESXi ","???","2025-03-04","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25390"
"CVE-2025-27363","FreeType","FreeType","Memory Corruption","OOB write","???","2025-03-11","https://www.facebook.com/security/advisories/cve-2025-27363"
"CVE-2025-2783","Google","Chrome","Logic Error","Windows Chrome sandbox escape","???","2025-03-25","https://chromereleases.googleblog.com/2025/03/stable-channel-update-for-desktop_25.html"
"CVE-2025-31200","Apple","iOS","Memory Corruption","Memory Corruption in CoreAudio","???","2025-04-16","https://support.apple.com/en-gb/122282"
"CVE-2025-31201","Apple","iOS","PAC bypass","Arbitrary read and write","???","2025-04-16","https://support.apple.com/en-gb/122282"
"CVE-2025-29824","Microsoft","Windows","Memory Corruption","Windows Common Log File System Driver Elevation of Privilege Vulnerability","???","2025-04-08","https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2025-29824"
"CVE-2025-32701","Microsoft","Windows","Memory Corruption","Windows Common Log File System Driver Elevation of Privilege Vulnerability","???","2025-05-13","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-32701"
"CVE-2025-30397","Microsoft","Windows","Memory Corruption","Scripting Engine Memory Corruption Vulnerability","???","2025-05-13","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30397"
"CVE-2025-30400","Microsoft","Windows","Memory Corruption","Microsoft DWM Core Library Elevation of Privilege Vulnerability","???","2025-05-13","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30400"
"CVE-2025-32709","Microsoft","Windows","Memory Corruption","Windows Ancillary Function Driver for WinSock Elevation of Privilege Vulnerability","???","2025-05-13","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-32709"
"CVE-2025-32706","Microsoft","Windows","Memory Corruption","Windows Common Log File System Driver Elevation of Privilege Vulnerability","???","2025-05-13","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-32706"
"CVE-2025-43200","Apple","Message","Logic Error","Logic issue when processing photo or video","???","2025-06-11","https://support.apple.com/en-us/122174"
"CVE-2025-5419","Google","Chrome","Memory corruption","OOB write in V8","???","2025-06-02","https://chromereleases.googleblog.com/2025/06/stable-channel-update-for-desktop.html"
"CVE-2025-21479","Qualcomm","GPU","Memory corruption","Arbitrary physical write vulnerability","???","2025-06-02","https://docs.qualcomm.com/product/publicresources/securitybulletin/june-2025-bulletin.html"
"CVE-2025-21480","Qualcomm","GPU","Memory corruption","Arbitrary physical write vulnerability","???","2025-06-02","https://docs.qualcomm.com/product/publicresources/securitybulletin/june-2025-bulletin.html"
"CVE-2025-27038","Qualcomm","GPU","Memory corruption","UAF","???","2025-06-02","https://docs.qualcomm.com/product/publicresources/securitybulletin/june-2025-bulletin.html"
"CVE-2025-6554","Google","Chrome","Memory corruption","Type confusion in V8","???","2025-06-30","https://chromereleases.googleblog.com/2025/06/stable-channel-update-for-desktop_30.html"
"CVE-2025-33053","Microsoft","Windows","Logic Error","Internet Shortcut Files Remote Code Execution Vulnerability","???","2025-06-10","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-33053"
"CVE-2025-6558","Google","Chrome","Memory corruption","Insufficient validation of untrusted input","???","2025-07-15","https://chromereleases.googleblog.com/2025/07/stable-channel-update-for-desktop_15.html"
"CVE-2025-53770","Microsoft","Sharepoint","Logic Error","Deserialization of untrusted data","???","2025-07-19","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53770"
"CVE-2025-43300","Apple","iOS","Memory corruption","Memory corruption in ImageIO","???","2025-08-20","https://support.apple.com/en-us/124925"
"CVE-2025-21043","Samsung","Samsung Mobile","Memory corruption","OOB write in libimagecodec.quram.so","???","2025-09-12","https://security.samsungmobile.com/securityUpdate.smsb"
"CVE-2025-55177","Meta","WhatsApp","Security Feature Bypass","Incomplete authorization of linked device synchronization messages ","???","2025-08-20","https://www.facebook.com/security/advisories/cve-2025-55177"
"CVE-2025-10585","Google","Chrome","Memory corruption","Type confusion in V8","???","2025-09-17","https://chromereleases.googleblog.com/2025/09/stable-channel-update-for-desktop_17.html"
"CVE-2025-38352","Google","Android","Memory corruption","Race condition in kernel","???","2025-09-01","https://source.android.com/security/bulletin/2025-09-01"
"CVE-2025-48543","Google","Android","Memory corruption","Deserialization of untrusted data in ART","???","2025-09-01","https://source.android.com/security/bulletin/2025-09-01"
"CVE-2025-59230","Microsoft","Windows","Logic Error","Improper access control","???","2025-10-14","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-59230"
"CVE-2025-62215","Microsoft","Windows","Memory corruption","Race condition leading to double free in kernel","???","2025-11-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-62215"
"CVE-2025-13223","Google","Chrome","Memory corruption","Type confusion in V8","???","2025-11-12","https://chromereleases.googleblog.com/2025/11/stable-channel-update-for-desktop_17.html"
"CVE-2025-43529","Apple","WebKit","Memory corruption","UAF","???","2025-12-12","https://support.apple.com/en-us/125884"
"CVE-2025-14174","Apple","WebKit","Memory corruption","OOB write in libangle","???","2025-12-12","https://support.apple.com/en-us/125884"
"CVE-2025-62221","Microsoft","Windows","Memory corruption","UAF in Windows Cloud Filter","???","2025-12-09","https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2025-62221"
"CVE-2026-20805","Microsoft","Windows","Information Disclosure","Desktop Window Manager Information Disclosure Vulnerability","???","2026-01-13","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-20805"
"CVE-2026-21509","Microsoft","Office","Feature Bypass","Microsoft Office Security Feature Bypass Vulnerability","???","2026-01-26","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21509"
"CVE-2026-21510","Microsoft","Office","Feature Bypass","Microsoft Office Security Feature Bypass Vulnerability","???","2026-02-10","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21510"
"CVE-2026-21513","Microsoft","Office","Feature Bypass","Microsoft Office Security Feature Bypass Vulnerability","???","2026-02-10","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21513"
"CVE-2026-21514","Microsoft","Office","Feature Bypass","Microsoft Office Security Feature Bypass Vulnerability","???","2026-02-10","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21514"
"CVE-2026-21519","Microsoft","Windows","Memory Corruption","Desktop Window Manager Elevation of Privilege Vulnerability","???","2026-02-10","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21519"
"CVE-2026-21533","Microsoft","Windows","Memory Corruption","Windows Remote Desktop Services Elevation of Privilege Vulnerability","???","2026-02-10","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21533"
"CVE-2026-20700","Apple","iOS","PAC Bypass","Memory corruption in dyld","???","2026-02-11","https://support.apple.com/en-us/126346"
"CVE-2026-2441","Google","Chrome","Memory Corruption","Use after free in CSS","???","2026-02-13","https://chromereleases.googleblog.com/2026/02/stable-channel-update-for-desktop_13.html"
"CVE-2026-21385","Qualcomm","GPU","Memory Corruption","Memory corruption while using alignments for memory allocation.","???","2026-03-02","https://docs.qualcomm.com/securitybulletin/march-2026-bulletin.html"
"CVE-2026-3910","Google","Chrome","Memory Corruption","Inappropriate implementation in V8","","2026-03-12","https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop_12.html"
